Unique ID,feature_name,Honorees,City,County,State,Side,Coordinates,Symbol Type,Sponsors,Year Dedicated,Year Removed,Tracking Status,Removed After Charlottesville,Symbol Location,Symbol Type Other
1386,Jubal Early Monument,Jubal Anderson Early,Lynchburg,Lynchburg City,VA,South,"37.390238,-79.172512",Monument,Unknown,1919,,Live,0,,
1449,Confederate Monument,No specific honoree,Nottoway,Nottoway,VA,South,"37.128332,-78.079927",Monument,Ladies Memorial Association,1893,,Live,0,Courthouse grounds,
1387,Confederate Monument,No specific honoree,Lynchburg,Lynchburg City,VA,South,"37.413817,-79.144350",Monument,United Daughters of the Confederacy,1899,,Live,0,,
1287,Early Street,Jubal Anderson Early,Lynchburg,Lynchburg City,VA,South,"37.431651,-79.157201",Roadway,Unknown,,,Live,0,,
2210,Orange County Confederate Monument,No specific honoree,Orange,Orange,VA,South,"38.245191,-78.111278",Monument,friends; Comrades,1900,,Live,0,Courthouse grounds,
3159,Battle of Dinwiddie Court House Monument,No specific honoree,Dinwiddie,Dinwiddie,VA,South,"37.077217,-77.587200",Monument,Confederate Memorial Association,1972,,Live,0,Courthouse grounds,
1379,Confederate Monument,No specific honoree,Hanover,Hanover,VA,South,"37.763117,-77.367233",Monument,Unknown,1914,,Live,0,,
1897,Turner Ashby Monument,"Turner Ashby, Jr.",Harrisonburg,Rockingham,VA,South,"38.423107,-78.864796",Monument,United Daughters of the Confederacy,1898,,Live,0,,
1426,Confederate Monument,No specific honoree,Dinwiddie,Dinwiddie,VA,South,"37.077533,-77.587150",Monument,Citizens of Dinwiddie County,1909,,Live,0,Courthouse grounds,
1316,John Mosby Highway,John Singleton Mosby,Middleburg,Loudoun,VA,South,"38.967134,-77.742543",Roadway,Unknown,,,Live,0,,
3153,Stuart Street,"James Ewell Brown ""Jeb"" Stuart",Culpeper,Culpeper,VA,South,"38.488069,-77.990999",Roadway,Unknown,,,Live,0,,
1284,Jeb Stuart Highway,"James Ewell Brown ""Jeb"" Stuart",Damascus,Washington,VA,South,"36.628068,-81.650338",Roadway,Unknown,,,Live,0,,
1380,Confederate Monument,No specific honoree,Hopewell,Hopewell City,VA,South,"37.305050,-77.288533",Monument,United Daughters of the Confederacy,1949,,Live,0,,
1323,Lee Highway,Robert E. Lee,Natural Bridge,Rockbridge,VA,South,"37.679684,-79.499034",Roadway,Unknown,,,Live,0,,
1873,Lee Highway,Robert E. Lee,Fairfax,Fairfax,VA,South,"38.860384,-77.301711",Roadway,Unknown,,,Live,0,,
1293,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Natural Bridge Station,Rockbridge,VA,South,"37.606933,-79.490713",Roadway,Unknown,,,Live,0,,
1298,Robert E. Lee Drive,Robert E. Lee,Hopewell,Hopewell City,VA,South,"37.260198,-77.315444",Roadway,Unknown,,,Live,0,,
1435,Civil War Monument,No specific honoree,Heathsville,Northumberland,VA,South,"37.917100,-76.472200",Monument,Ladies Memorial Association of Northumberland County,1873,,Live,0,Courthouse grounds,
1427,Confederate Monument,No specific honoree,Eastville,Northampton,VA,South,"37.353305,-75.946196",Monument,Unknown,1913,,Live,0,Courthouse grounds,
1446,Confederate Monument,No specific honoree,Monterey,Highland,VA,South,"38.412983,-79.582633",Monument,United Daughters of the Confederacy,1918,,Live,0,Courthouse grounds,
1436,Confederate Monument,No specific honoree,Hillsville,Carroll,VA,South,"36.766200,-80.736650",Monument,United Daughters of the Confederacy,1907,,Live,0,Courthouse grounds,
1447,Westmoreland County Confederate Monument,No specific honoree,Montross,Westmoreland,VA,South,"38.095300,-76.828267",Monument,Ladies Memorial Association,1876,,Live,0,Courthouse grounds,
3161,Pickett Road,George Pickett,Fairfax,Fairfax,VA,South,"38.863779,-77.270060",Roadway,Unknown,,,Live,0,,
1438,Lancaster County Confederate Monument,No specific honoree,Lancaster,Lancaster,VA,South,"37.769909,-76.465279",Monument,Ladies Memorial Society,1872,,Live,0,Courthouse grounds,
1389,Confederate Monument,No specific honoree,New Kent,New Kent,VA,South,"37.517867,-76.978317",Monument,Unknown,1934,,Live,0,,
1439,Brunswick County Confederate Monument,No specific honoree,Lawrenceville,Brunswick,VA,South,"36.758817,-77.846833",Monument,Unknown,1910,,Live,0,Courthouse grounds,
1274,Confederate Street,No specific honoree,New Market,Shenandoah,VA,South,"38.643674,-78.673548",Roadway,Unknown,,,Live,0,,
1872,Old Lee Highway,Robert E. Lee,Fairfax,Fairfax,VA,South,"38.855495,-77.291150",Roadway,Unknown,,,Live,0,,
1292,Robert E. Lee Drive,Robert E. Lee,Natural Bridge Station,Rockbridge,VA,South,"37.608607,-79.490198",Roadway,Unknown,,,Live,0,,
5002,“Parade Rest” Confederate Monument,No specific honoree,Independence,Grayson,VA,South,"36.622556,-81.151669",Monument,Unknown,1911,,Live,0,Courthouse grounds,
1874,Old Pickett Road,George Pickett,Fairfax,Fairfax,VA,South,"38.862793,-77.272956",Roadway,Unknown,,,Live,0,,
1448,Confederate Monument,No specific honoree,New Castle,Craig,VA,South,"37.503583,-80.109500",Monument,United Daughters of the Confederacy,1912,,Live,0,Courthouse grounds,
1437,To Our Soldiers of the Confederacy,No specific honoree,King William,King William,VA,South,"37.669391,-76.877698",Monument,Confederate Monument Association of Queen County; Confederate Monument Association of King County,1912,,Live,0,Courthouse grounds,
3155,Early Street,Jubal Anderson Early,Farmville,Cumberland,VA,South,"37.309783,-78.384726",Roadway,Unknown,,,Live,0,,
1383,Francis H. Smith Confederate Monument,Francis H. Smith,Lexington,Lexington City,VA,South,"37.789967,-79.439650",Monument,Virginia Military Institute,1931,,Live,0,Military,
3156,Jackson Avenue,"Thomas Jonathan ""Stonewall"" Jackson",Farmville,Cumberland,VA,South,"37.311893,-78.381906",Roadway,Unknown,,,Live,0,,
3168,Early Street,Jubal Anderson Early,New Market,Shenandoah,VA,South,"38.644206,-78.676863",Roadway,Unknown,,,Live,0,,
1467,J.E.B. Stuart Park,"James Ewell Brown ""Jeb"" Stuart",Falls Church,Falls Church City,VA,South,"38.855040,-77.150680",Other,Unknown,1961,,Live,0,,Park
1381,Confederate Monument,No specific honoree,Lebanon,Russell,VA,South,"36.900817,-82.080217",Monument,Unknown,1914,,Live,0,,
3154,Bragg Street,Braxton Bragg,Farmville,Cumberland,VA,South,"37.311491,-78.386143",Roadway,Unknown,,,Live,0,,
1957,Texas National Guard Camp Maxey,No specific honoree,Powderly,Lamar,TX,South,"33.781675,-95.537217",Other,Unknown,1941,,Live,0,Military,Military
3133,Lee Avenue,Robert E. Lee,Port Arthur,Jefferson,TX,South,"29.906469,-93.909307",Roadway,Unknown,,,Live,0,,
1223,City of Stonewall,"Thomas Jonathan ""Stonewall"" Jackson",Stonewall,Gillespie,TX,South,"30.235595,-98.657204",County/Municipality,Israel P. Nunez,1870,,Live,0,,
1265,Stonewall Elementary School,"Thomas Jonathan ""Stonewall"" Jackson",Stonewall,Gillespie,TX,South,"30.237160,-98.662607",School,Unknown,,,Live,0,,
1346,Hardee Place,William Joseph Hardee,Alexandria,Alexandria,VA,South,"38.817502,-77.096499",Roadway,Unknown,,,Live,0,,
1349,Iverson Street,Alfred Iverson,Alexandria,Alexandria,VA,South,"38.818824,-77.106925",Roadway,Unknown,,,Live,0,,
1990,Confederate Avenue,No specific honoree,Tyler,Smith,TX,South,"32.365110,-95.314708",Roadway,Unknown,,,Live,0,,
1350,Jackson Place,"Thomas Jonathan ""Stonewall"" Jackson",Alexandria,Alexandria,VA,South,"38.826579,-77.070171",Roadway,Unknown,,,Live,0,,
1266,Hubbard Middle School,Richard B. Hubbard,Tyler,Smith,TX,South,"32.300745,-95.287378",School,Unknown,1964,,Live,0,,
1347,Hume Avenue,Frank Hume,Alexandria,Alexandria,VA,South,"38.831231,-77.055278",Roadway,Unknown,,,Live,0,,
1127,Robert Lee Street,Robert E. Lee,Sweetwater,Nolan,TX,South,"32.454525,-100.417268",Roadway,Unknown,,,Live,0,,
1348,Imboden Street,John Daniel Imboden,Alexandria,Alexandria,VA,South,"38.816701,-77.106256",Roadway,Unknown,,,Live,0,,
1180,Confederate Mothers Monument,No specific honoree,Texarkana,Bowie,TX,South,"33.424617,-94.043350",Monument,United Daughters of the Confederacy; Captain James T. Rosborough,1918,,Live,0,,
1352,Jordan Street,Thomas Jordan,Alexandria,Alexandria,VA,South,"38.810529,-77.110615",Roadway,Unknown,,,Live,0,,
1138,Jeff Davis Drive,Jefferson Davis,Tyler,Smith,TX,South,"32.271218,-95.284704",Roadway,Unknown,,,Live,0,,
1354,Lee Street,Robert E. Lee,Alexandria,Alexandria,VA,South,"38.801690,-77.042079",Roadway,Unknown,,,Live,0,,
1989,Robert E. Lee Drive,Robert E. Lee,Tyler,Smith,TX,South,"32.276727,-95.301928",Roadway,Unknown,,,Live,0,,
1351,Janney's Lane,Eli Hamilton Janney,Alexandria,Alexandria,VA,South,"38.814235,-77.079909",Roadway,Unknown,,,Live,0,,
2035,James S. Hogg Middle School,James S. Hogg,Tyler,Smith,TX,South,"32.273096,-95.284854",School,Unknown,1930,,Live,0,,
1139,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Tyler,Smith,TX,South,"32.273105,-95.285669",Roadway,Unknown,,,Live,0,,
1147,Breckinridge Court,John C. Breckinridge,Missouri City,Fort Bend,TX,South,"29.540131,-95.507875",Roadway,Unknown,,,Live,0,,
2198,Jefferson Davis Memorial Highway Marker II,Jefferson Davis,San Antonio,Bexar,TX,South,"29.493700,-98.434183",Monument,United Daughters of the Confederacy,1929,,Live,0,,
2044,Jefferson Davis Memorial Highway Marker III,Jefferson Davis,San Antonio,Bexar,TX,South,"29.422300,-98.494183",Monument,United Daughters of the Confederacy,1956,,Live,0,,
1146,Beauregard Court,Pierre Gustave Toutant-Beauregard,Missouri City,Fort Bend,TX,South,"29.542013,-95.511791",Roadway,Unknown,,,Live,0,,
1119,Beauregard Street,Pierre Gustave Toutant-Beauregard,San Antonio,Bexar,TX,South,"31.462361,-100.437502",Roadway,Unknown,,,Live,0,,
1145,Bedford Forrest Drive,Nathan Bedford Forrest,Missouri City,Fort Bend,TX,South,"29.541294,-95.511437",Roadway,Unknown,,,Live,0,,
